date,product_id,product_name,brand_name,original_price,final_price,discount_rate,trending,sold_count,viewing,purchasing,review_count,review_score,product_url,image_url,rank
202411290537,4164429,빈티지 프론트 워싱 와이드 청바지 데님 팬츠,언탭트 스튜디오,53800,26900,50,0,11000.0,565,86,974,96.0,https://www.musinsa.com/products/4164429,https://image.msscdn.net/images/goods_img/20240529/4164429/4164429_17201609421486_500.jpg,44
202411290537,4319523,카펜터 퍼티그 워크 코튼 팬츠 (SAND GREY),토피,59000,29500,50,0,3000.0,540,63,258,96.0,https://www.musinsa.com/products/4319523,https://image.msscdn.net/images/goods_img/20240812/4319523/4319523_17242056584363_500.jpg,45
202411290537,4435593,아이보리 캐시미어 블렌드 핸드메이드 발마칸코트 (JNCO4D027I1),질스튜어트뉴욕 맨,1290000,1096500,15,0,,17,0,1,100.0,https://www.musinsa.com/products/4435593,https://image.msscdn.net/images/goods_img/20240912/4435593/4435593_17288908745294_500.jpg,46
202411290537,4452183,(EDITION) 아디스타 XLG SMU - 트리플블랙 / JH8828,아디다스,139000,68990,50,0,,363,35,38,94.0,https://www.musinsa.com/products/4452183,https://image.msscdn.net/images/goods_img/20240923/4452183/4452183_17280224887549_500.jpg,47
202411290537,4241964,베이직 롱패딩_SPJPE4VC14,스파오,99900,79000,21,0,1500.0,135,33,107,98.0,https://www.musinsa.com/products/4241964,https://image.msscdn.net/images/goods_img/20240710/4241964/4241964_17219519272422_500.jpg,48
202411290537,4496170,핸드볼 스페지알  - 원더베이지 / IE3699,아디다스,139000,75990,45,0,1300.0,282,31,33,96.0,https://www.musinsa.com/products/4496170,https://image.msscdn.net/images/goods_img/20241008/4496170/4496170_17291281180709_500.jpg,49
202411290537,4266425,헤비 웰론 배색 후드 숏 패딩_4color,어반디타입,109000,49900,54,0,1400.0,437,46,46,96.0,https://www.musinsa.com/products/4266425,https://image.msscdn.net/images/goods_img/20240722/4266425/4266425_17322510572090_500.jpg,50
202411290537,4209578,미니멀 후디드 다운 숏 패딩 재킷 [다크 그레이],무신사 스탠다드,169900,144390,15,0,,381,0,22,92.0,https://www.musinsa.com/products/4209578,https://image.msscdn.net/images/goods_img/20240620/4209578/4209578_17296475688188_500.jpg,51
202411290537,4285909,오버핏 케이블 라운드 니트 5COLOR,언탭트 스튜디오,49957,24900,50,0,18000.0,11000,187,970,96.0,https://www.musinsa.com/products/4285909,https://image.msscdn.net/images/goods_img/20240731/4285909/4285909_17247442451593_500.jpg,52
202411290537,4264704,덩크 로우 SE M - 팬텀:검 라이트 브라운:코코넛 밀크:말라카이트 / HQ1519-030,나이키,159000,79500,50,0,,421,0,7,98.0,https://www.musinsa.com/products/4264704,https://image.msscdn.net/images/goods_img/20240722/4264704/4264704_17224031156689_500.jpg,53
