productId,date,views,likes,rating,ratingCount,totalSales
4477479,2024120120,1700.0,130000,,,
4405573,2024120120,14000.0,220000,4.7,18.0,
4173353,2024120120,8900.0,23000,4.9,76.0,
4450391,2024120120,2400.0,691,,,
4313793,2024120120,10000.0,660000,4.9,145.0,
4431453,2024120120,9000.0,69000,4.8,15.0,
4568534,2024120120,5700.0,240000,,,
4310311,2024120120,12000.0,14000,4.9,208.0,
4233886,2024120120,4700.0,200000,4.9,18.0,
4440523,2024120120,4500.0,85000,4.8,31.0,
4435294,2024120120,19000.0,71000,4.7,11.0,
4277513,2024120120,9200.0,16000,4.9,457.0,1600.0
4302295,2024120120,2800.0,24000,5.0,7.0,
4224559,2024120120,850.0,16000,4.9,175.0,
4383630,2024120120,3600.0,240000,5.0,1.0,
4394402,2024120120,1600.0,360000,,,
4371993,2024120120,14000.0,240000,4.9,14.0,
4295694,2024120120,3200.0,25000,4.8,4.0,
4340756,2024120120,5000.0,660000,4.9,20.0,
4457426,2024120120,4600.0,660000,5.0,12.0,
4449550,2024120120,2300.0,240000,,,
4405580,2024120120,5400.0,220000,5.0,6.0,
4555225,2024120120,1400.0,6400,,,
4299828,2024120120,3200.0,220000,5.0,5.0,
4309618,2024120120,,6100,,,
4371240,2024120120,2700.0,96000,5.0,15.0,
4589904,2024120120,1700.0,200000,5.0,3.0,
4432337,2024120120,4100.0,3200,5.0,4.0,
4253492,2024120120,250.0,9900,4.5,2.0,
4409930,2024120120,900.0,23000,5.0,1.0,
4348205,2024120120,3400.0,14000,5.0,1.0,
4466954,2024120120,1600.0,26000,,,
4588130,2024120120,500.0,21000,,,
4414696,2024120120,12000.0,660000,4.5,7.0,
4609187,2024120120,400.0,280000,,,
4612422,2024120120,,3000,,,
4502296,2024120120,3200.0,14000,4.5,2.0,
4372073,2024120120,1100.0,30000,5.0,3.0,
4423506,2024120120,1400.0,60000,5.0,1.0,
4142734,2024120120,16000.0,130000,4.9,84.0,
4305484,2024120120,8000.0,130000,4.9,24.0,
4208797,2024120120,8900.0,27000,4.9,52.0,
4400539,2024120120,4400.0,33000,4.8,15.0,
4403844,2024120120,6100.0,260000,4.8,16.0,
4325138,2024120120,,3800,5.0,2.0,
4351089,2024120120,12000.0,120000,4.9,30.0,
4142377,2024120120,7000.0,130000,4.9,32.0,
4341058,2024120120,1800.0,23000,5.0,1.0,
4471627,2024120120,200.0,15,,,
4619358,2024120120,3700.0,45000,,,
4459203,2024120120,1800.0,24000,5.0,3.0,
4459213,2024120120,250.0,24000,,,
4350924,2024120120,2100.0,79000,5.0,2.0,
4363889,2024120120,13000.0,51000,4.8,63.0,
4451007,2024120120,4200.0,17000,4.8,5.0,
4511887,2024120120,1300.0,39000,5.0,4.0,
4320259,2024120120,5800.0,42000,4.9,18.0,
4459150,2024120120,1000.0,24000,5.0,1.0,
4444863,2024120120,11000.0,39000,5.0,1.0,
4399621,2024120120,550.0,45000,,,
4371008,2024120120,4200.0,360000,5.0,1.0,
