productId,date,views,likes,rating,ratingCount,totalSales
4194249,2024120120,13000,140000,4.8,31.0,0
4590232,2024120120,3800,200000,,,0
4451016,2024120120,12000,140000,5.0,19.0,0
4278797,2024120120,2000,84000,4.9,10.0,0
4465098,2024120120,0,12000,,,0
4452597,2024120120,10000,84000,4.9,14.0,0
4179735,2024120120,1600,150000,5.0,2.0,0
4548293,2024120120,4300,84000,5.0,4.0,0
4498051,2024120120,8400,140000,4.8,46.0,0
4483651,2024120120,11000,84000,5.0,4.0,0
4572570,2024120120,0,16000,4.0,1.0,0
4457441,2024120120,12000,200000,5.0,3.0,0
4438679,2024120120,200,120000,5.0,2.0,0
4381928,2024120120,19000,200000,4.8,8.0,0
4566737,2024120120,9700,95000,4.6,7.0,0
4264087,2024120120,5400,290000,5.0,2.0,0
4489709,2024120120,5300,140000,4.5,2.0,0
4613742,2024120120,2200,12000,,,0
4343632,2024120120,2000,44000,5.0,1.0,0
4618456,2024120120,4000,84000,5.0,5.0,0
4330417,2024120120,0,4000,,,0
4371043,2024120120,17000,46000,4.9,76.0,1000
4532943,2024120120,450,25000,,,0
4424688,2024120120,4000,8700,5.0,3.0,0
4424687,2024120120,0,110000,,,0
4577131,2024120120,13000,360000,4.8,251.0,2200
4558709,2024120120,0,16000,,,0
4487816,2024120120,1200,8700,,,0
4503247,2024120120,1200,12000,5.0,1.0,0
4260527,2024120120,5500,60000,4.8,17.0,0
4450891,2024120120,550,53000,4.0,1.0,0
4490495,2024120120,6100,15000,5.0,3.0,0
4503551,2024120120,600,53000,4.5,2.0,0
4523094,2024120120,1600,280000,,,0
4444583,2024120120,200,5200,,,0
4193500,2024120120,650,11000,4.0,3.0,0
4613743,2024120120,350,15000,,,0
4473699,2024120120,5700,84000,5.0,2.0,0
4226095,2024120120,1700,92000,4.9,14.0,0
4599671,2024120120,1300,200000,,,0
4599680,2024120120,8600,140000,4.7,85.0,0
4463983,2024120120,5100,5400,4.9,489.0,1700
4230834,2024120120,600,1800,,,0
4215261,2024120120,6200,13000,5.0,1.0,0
4391136,2024120120,1400,220000,4.7,3.0,0
4457408,2024120120,4400,69000,5.0,1.0,0
4489783,2024120120,500,76000,,,0
4287256,2024120120,750,11000,,,0
4523099,2024120120,650,66000,4.5,6.0,0
4201519,2024120120,9500,360000,5.0,2.0,0
4477835,2024120120,1100,3800,,,0
4545223,2024120120,1000,31,4.9,52.0,0
4544540,2024120120,600,92000,,,0
4226118,2024120120,20000,84000,4.9,17.0,0
4430590,2024120120,3300,7600,4.0,2.0,0
4558805,2024120120,5500,84000,5.0,8.0,0
4495199,2024120120,1600,140000,4.8,6.0,0
4328240,2024120120,2300,22000,5.0,1.0,0
4570445,2024120120,200,1800,,,0
4234924,2024120120,3700,200000,5.0,1.0,0
4610212,2024120120,1300,110000,5.0,4.0,0
4464039,2024120120,450,12000,,,0
4379824,2024120120,0,1800,,,0
4341090,2024120120,4100,150000,5.0,2.0,0
4211802,2024120120,1400,42000,5.0,2.0,0
4599089,2024120120,4300,12000,,,0
4593634,2024120120,250,4800,,,0
4343637,2024120120,20000,280000,5.0,5.0,0
4375727,2024120120,2600,92000,,,0
4479883,2024120120,20000,200000,4.9,14.0,0
4409444,2024120120,4100,42000,5.0,1.0,0
4518032,2024120120,6600,200000,5.0,3.0,0
4463013,2024120120,5200,16000,4.8,21.0,0
4548287,2024120120,350,66000,,,0
4340129,2024120120,1600,42000,4.0,2.0,0
4198997,2024120120,8900,290000,5.0,2.0,0
4566736,2024120120,350,22000,,,0
4589970,2024120120,2500,15000,4.8,4.0,0
4517688,2024120120,200,1800,,,0
4448757,2024120120,10000,200000,4.9,172.0,0
4225425,2024120120,200,1800,5.0,2.0,0
4508264,2024120120,1700,280000,5.0,3.0,0
4612464,2024120120,750,7600,5.0,1.0,0
4322401,2024120120,1100,200000,,,0
4220956,2024120120,650,660000,4.7,3.0,0
4463012,2024120120,900,5300,,,0
4558778,2024120120,300,110000,,,0
4429328,2024120120,550,1800,5.0,2.0,0
4426823,2024120120,4400,25000,4.9,33.0,0
4483652,2024120120,4600,1800,4.6,9.0,0
4179785,2024120120,1700,84000,5.0,4.0,0
