productId,productName,keywords
996177,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],"['릴렉스', '핏', '크루', '넥', '반팔', '티셔츠', '화이트']"
999449,(Renew Ver.) 와이드 스웨트 조거 팬츠 ( 5Color ) ( 기모선택 ),"['와이드', '스웨트', '조거', '팬츠', '기모선택']"
1092992,OORIGINAL BLACK - 조리 블랙,"['OORIGINAL', 'BLACK', '조리', '블랙']"
1108007,베이식 블레이저 [블랙],"['베이식', '블레이저', '블랙']"
1114716,트랜스폼 라운드 넥 라이트 다운 재킷 [블랙],"['트랜스폼', '라운드', '넥', '라이트', '다운', '재킷', '블랙']"
1115290,와이드 치노 팬츠 [베이지],"['와이드', '치노', '팬츠', '베이지']"
1115974,캐시미어 더블 롱 코트 BLACK,"['캐시미어', '더블', '롱', '코트', 'BLACK']"
1128656,4.5cm 소가죽 코만도 첼시부츠 루틴(CR0011),"['소가죽', '코만도', '첼시부츠']"
1139101,화란 세미오버 니트 크림,"['화란', '세미오버', '니트', '크림']"
1139175,화란 세미오버 니트 블랙,"['화란', '세미오버', '니트', '블랙']"
1144989,베이식 긴팔 티셔츠 [화이트],"['베이식', '긴팔', '티셔츠', '화이트']"
1149328,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"['테이퍼드', '히든', '밴딩', '크롭', '슬랙스', '블랙']"
1149329,세미 와이드 히든 밴딩 슬랙스 [블랙],"['세미', '와이드', '히든', '밴딩', '슬랙스', '블랙']"
1163169,삼바 OG - 화이트:블랙 / B75806,"['삼바', 'OG', '화이트', '블랙']"
1168906,와이드 히든 밴딩 슬랙스 [블랙],"['와이드', '히든', '밴딩', '슬랙스', '블랙']"
1168907,테이퍼드 히든 밴딩 10부 슬랙스 [블랙],"['테이퍼드', '히든', '밴딩', '10부', '슬랙스', '블랙']"
1168922,리얼 와이드 히든 밴딩 슬랙스 [블랙],"['리얼', '와이드', '히든', '밴딩', '슬랙스', '블랙']"
1176314,레귤러 핏 코듀로이 팬츠 [블랙],"['레귤러', '핏', '코듀로이', '팬츠', '블랙']"
1176326,와이드 코듀로이 팬츠 [블랙],"['와이드', '코듀로이', '팬츠', '블랙']"
1176329,와이드 코듀로이 팬츠 [크림],"['와이드', '코듀로이', '팬츠', '크림']"
1176331,와이드 코듀로이 팬츠 [브라운],"['와이드', '코듀로이', '팬츠', '브라운']"
1178135,삼바 OG - 블랙:화이트 / B75807,"['삼바', 'OG', '블랙', '화이트']"
1204448,3M 신슐레이트 M-65 피시테일 코트 패딩 카키,"['신슐레이트', '피시테일', '코트', '패딩', '카키']"
1208839,"[2PACK] 유니)C/P기모쭈리 - LOCATION 맨투맨(세미오버핏)(15COLOR)[LRAWCTM704M/712M, 304M, GMT501H43]","['유니', 'C', 'P기모쭈리', 'LOCATION']"
1212776,라운지 스웨트 팬츠 [블랙],"['라운지', '스웨트', '팬츠', '블랙']"
1222184,와이드 히든 밴딩 슬랙스 [미디엄 그레이],"['와이드', '히든', '밴딩', '슬랙스', '미디엄', '그레이']"
1224095,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],"['세미', '와이드', '히든', '밴딩', '슬랙스', '미디엄', '그레이']"
1231944,슈퍼스타 - 블랙 / EG4957,"['슈퍼스타', '블랙']"
1248490,Vintage Long Sleeve Henley Shirt White,"['Vintage', 'Long', 'Sleeve', 'Henley', 'Shirt', 'White']"
1253200,1942 US Army Chino Trousers Khaki,"['US', 'Army', 'Chino', 'Trousers', 'Khaki']"
1262092,1461 쿼드 블랙 폴리시드 스무스 / 25567001,"['쿼드', '블랙', '폴리시드', '스무스']"
1291017,리치 오버 MA-1 자켓 블랙 YHJK2269,"['리치', '오버', '자켓', '블랙']"
1317598,우븐 조거 팬츠(블랙),"['우븐', '조거', '팬츠', '블랙']"
1322219,레귤러 핏 데님 팬츠 [워시드 블랙],"['레귤러', '핏', '데님', '팬츠', '워시드', '블랙']"
1324127,우먼즈 플랫 테리 와이드 라운지 스웨트 팬츠 [블랙],"['우먼즈', '플랫', '테리', '와이드', '라운지', '스웨트', '팬츠', '블랙']"
