productId,keywords
4394773,"tag,hoodie,ash"
4299296,"시티보이,오버핏,럭비,카라,맨투맨,스웻,티셔츠,4color"
4387116,"리브드,오버핏,헨리넥,니트,블랙"
3539902,"에센셜,헤어리,라운드,니트핑크"
4299296,"시티보이,오버핏,럭비,카라,맨투맨,스웻,티셔츠,4color"
2692476,"남녀공용,릴렉스핏,모노그램,로고,후디,j327360,beh"
2970541,"피치스킨,러스티,로고,스웨트셔츠,블랙"
4514674,"워셔블,노르딕,자카드,카라넥,2way,집업,니트,베이지"
3463298,"투톤아치,후드그레이"
3417709,"우먼즈,슬림,크루,넥,긴소매,티셔츠,화이트"
4394773,"tag,hoodie,ash"
4341053,"레드,하트,로고,맨투맨,블랙,bfusw001730001"
2995119,"컬러,배색,1992,그래픽,후드,navy"
4467040,"레드,하트,로고,후드,블랙,bfusw235730001"
4440029,"big,typo,hoodie,grey"
3465171,"소프트,텍스쳐,세미,오버핏,데일리,니트8,color"
2995119,"컬러,배색,1992,그래픽,후드,navy"
4480313,"울,자카드,후드,더플,니트midnight,blue"
1336836,"renew,ver,루즈핏,스웨트,셔츠,9color,기모선택,"
4387116,"리브드,오버핏,헨리넥,니트,블랙"
4299296,"시티보이,오버핏,럭비,카라,맨투맨,스웻,티셔츠,4color"
3539902,"에센셜,헤어리,라운드,니트핑크"
2995119,"컬러,배색,1992,그래픽,후드,navy"
3465171,"소프트,텍스쳐,세미,오버핏,데일리,니트8,color"
1336836,"renew,ver,루즈핏,스웨트,셔츠,9color,기모선택,"
4422975,"워셔블,모크넥,슬리브,니트,블랙"
3539905,"에센셜,헤어리,라운드,니트라이트,그린"
4314115,"mlogo,반집업,맨투맨,jp5tsu839,10colors"
4328687,"헤어리,그래픽,로고,오버핏,자카드,니트,charcoal"
4481198,"set,세미,크롭,니트,라운드터틀넥"
3463298,"투톤아치,후드그레이"
4467040,"레드,하트,로고,후드,블랙,bfusw235730001"
4314115,"mlogo,반집업,맨투맨,jp5tsu839,10colors"
1336836,"renew,ver,루즈핏,스웨트,셔츠,9color,기모선택,"
1139175,"화란,세미오버,니트,블랙"
4480313,"울,자카드,후드,더플,니트midnight,blue"
4440029,"big,typo,hoodie,grey"
2683549,"파로,오버,사이즈,부클,가디건,클래식,블랙"
4440029,"big,typo,hoodie,grey"
4328687,"헤어리,그래픽,로고,오버핏,자카드,니트,charcoal"
4375639,"happy,day,피그먼트,스웨트셔츠,스모크블랙"
3463298,"투톤아치,후드그레이"
4480313,"울,자카드,후드,더플,니트midnight,blue"
4387116,"리브드,오버핏,헨리넥,니트,블랙"
4619622,"tlogo,hoodie"
4341053,"레드,하트,로고,맨투맨,블랙,bfusw001730001"
876284,"블랙set,b스테디,하프,폴라넥"
3465171,"소프트,텍스쳐,세미,오버핏,데일리,니트8,color"
3539905,"에센셜,헤어리,라운드,니트라이트,그린"
4341053,"레드,하트,로고,맨투맨,블랙,bfusw001730001"
876284,"블랙set,b스테디,하프,폴라넥"
4328687,"헤어리,그래픽,로고,오버핏,자카드,니트,charcoal"
4375639,"happy,day,피그먼트,스웨트셔츠,스모크블랙"
4422975,"워셔블,모크넥,슬리브,니트,블랙"
4422975,"워셔블,모크넥,슬리브,니트,블랙"
2683549,"파로,오버,사이즈,부클,가디건,클래식,블랙"
4375639,"happy,day,피그먼트,스웨트셔츠,스모크블랙"
2105452,"980g,피그먼트,컷,후드차콜"
4619622,"tlogo,hoodie"
2184395,"마일드,보카시,크루넥,스웨터,오버핏,니트,블루"
876284,"블랙set,b스테디,하프,폴라넥"
2683549,"파로,오버,사이즈,부클,가디건,클래식,블랙"
2105452,"980g,피그먼트,컷,후드차콜"
1642904,"헤비웨이트,오버사이즈,후디드,스웨트셔츠,미디엄,그레이"
4397049,"4color,doodle,heart,hoodie"
1628939,"미니멀,크루,넥,니트,블랙"
3451265,"cropped,hairy,knit,marina"
4454673,"기모,레드애플,스웻셔츠오트밀"
4514674,"워셔블,노르딕,자카드,카라넥,2way,집업,니트,베이지"
2184395,"마일드,보카시,크루넥,스웨터,오버핏,니트,블루"
1628939,"미니멀,크루,넥,니트,블랙"
3286918,"3pack,small,regular,logo,tee,mix"
3539905,"에센셜,헤어리,라운드,니트라이트,그린"
4305227,"헤비코튼,크루넥,머슬,니트,블랙,24ntl01"
4612418,"브러쉬드,모헤어,페어아일,니트,브라운"
3451265,"cropped,hairy,knit,marina"
1642904,"헤비웨이트,오버사이즈,후디드,스웨트셔츠,미디엄,그레이"
4619622,"tlogo,hoodie"
3451265,"cropped,hairy,knit,marina"
1548435,"탑필,울,라운드,니트,블랙"
3286918,"3pack,small,regular,logo,tee,mix"
4305227,"헤비코튼,크루넥,머슬,니트,블랙,24ntl01"
4454673,"기모,레드애플,스웻셔츠오트밀"
4305227,"헤비코튼,크루넥,머슬,니트,블랙,24ntl01"
2105452,"980g,피그먼트,컷,후드차콜"
1629142,"미니멀,모크,넥,니트,블랙"
4328688,"헤어리,그래픽,로고,오버핏,자카드,니트,black"
4397049,"4color,doodle,heart,hoodie"
4328688,"헤어리,그래픽,로고,오버핏,자카드,니트,black"
4285379,"tcm,rag,hoodie,black"
659554,"세트,하프,폴라,니트,티셔츠"
1629142,"미니멀,모크,넥,니트,블랙"
1642904,"헤비웨이트,오버사이즈,후디드,스웨트셔츠,미디엄,그레이"
4397049,"4color,doodle,heart,hoodie"
2034137,"릴렉스,핏,크루,넥,반팔,티셔츠,2팩"
3019653,"화란,세미오버,니트,20color,"
2705733,"레이어드,크루,넥,긴팔,티셔츠일반,기장,화이트"
